neuron_id,neuron_type,neuron_layer,neuron_type_broad,neuron_type_specific,segment_id,soma_segment_id_base_volume,soma_loc_x,soma_loc_y,soma_loc_z,soma_radius,CD
1786,IN,PLIN,PLIN1,PLIN1,8830234,91788764,9422,6191,1356,4.5,1
2776,IN,PLIN,PLIN1,PLIN1,60478861,187862133,17079,15093,2360,4.5,1
2871,IN,PLIN,PLIN1,PLIN1,16874731,144501273,6572,14590,1536,3.5,2
886,IN,PLIN,PLIN2,PLIN2,69822600,104634650,5773,16868,1686,3.5,3
1104,IN,PLIN,PLIN2,PLIN2,23372592,186082001,9912,13270,2518,4,1
1198,IN,PLIN,PLIN2,PLIN2,29203958,233266990,2288,17766,2416,4,2
1266,IN,PLIN,PLIN2,PLIN2,278336160,278688509,8025,20820,3190,4,3
1329,IN,PLIN,PLIN2,PLIN2,29309195,323417820,10104,21596,3748,4,2
1334,IN,PLIN,PLIN2,PLIN2,30504000,325967999,4632,24203,3515,4.5,1
1443,IN,PLIN,PLIN2,PLIN2,27365652,318625823,12430,17599,3341,3.5,3
1513,IN,PLIN,PLIN2,PLIN2,62341066,148436641,12782,17515,1949,4,3
2479,IN,PLIN,PLIN2,PLIN2,28326066,229825000,14776,14809,2505,4.5,1
2709,IN,PLIN,PLIN2,PLIN2,146118555,228034344,8060,13323,2665,4,1
2890,IN,PLIN,PLIN2,PLIN2,28712590,105676027,4686,17714,1484,4,1
487,IN,PLIN,PLIN3,PLIN3_rl,116507649,281616223,18367,22367,3114,4.5,1
946,IN,PLIN,PLIN3,PLIN3_rl,35950858,106940162,11741,18820,1322,5,1
952,IN,PLIN,PLIN3,PLIN3_rl,18384691,60970015,4772,15817,750,4,2
1121,IN,PLIN,PLIN3,PLIN3_rl,18746388,143647610,14954,13768,1877,5,2
2789,IN,PLIN,PLIN3,PLIN3_rl,24916849,269718003,16313,12593,3034,4.5,2
3359,IN,PLIN,PLIN3,PLIN3_rl,27890895,237368303,14999,20841,2881,4.5,3
3360,IN,PLIN,PLIN3,PLIN3_rl,30033655,237379089,15581,20724,2740,4.5,3
3362,IN,PLIN,PLIN3,PLIN3_rl,23595150,234732565,17532,18539,2755,5,1
3367,IN,PLIN,PLIN3,PLIN3_rl,28430905,197065022,16493,19732,2438,4.5,3
3377,IN,PLIN,PLIN3,PLIN3_rl,27610726,149091707,17492,18007,1714,5,2
893,IN,PLIN,PLIN3,PLIN3_v,20527476,61556411,6690,16318,945,5,2
1153,IN,PLIN,PLIN3,PLIN3_v,34871862,195072599,4029,21274,2048,4.5,1
1257,IN,PLIN,PLIN3,PLIN3_v,12189572,265257242,10614,8961,2998,5,3
1392,IN,PLIN,PLIN3,PLIN3_v,21685366,321670973,5066,20401,3443,4.5,1
1414,IN,PLIN,PLIN3,PLIN3_v,23372810,321260822,9760,20254,3425,5,2
1426,IN,PLIN,PLIN3,PLIN3_v,20713291,279284819,11635,20306,3071,4,2
1457,IN,PLIN,PLIN3,PLIN3_v,24380150,319715061,12970,18599,3490,4.5,2
1504,IN,PLIN,PLIN3,PLIN3_v,19870261,318732359,16245,17802,3549,5,3
1516,IN,PLIN,PLIN3,PLIN3_v,116003454,149457070,10707,18840,1867,4.5,2
194,IN,PLIN,PLIN4,PLIN4_a,1476724,138107971,8988,9334,1543,4,2
1038,IN,PLIN,PLIN4,PLIN4_a,26007865,108965354,6801,20476,1248,4.5,3
1112,IN,PLIN,PLIN4,PLIN4_a,13523913,187719841,11677,15136,2074,5,2
1199,IN,PLIN,PLIN4,PLIN4_a,146598519,189687664,2398,17698,2579,5,1
1207,IN,PLIN,PLIN4,PLIN4_a,19612624,192029349,11341,18715,2200,4.5,1
1517,IN,PLIN,PLIN4,PLIN4_a,14320135,148917084,10668,18228,1840,4.5,1
1555,IN,PLIN,PLIN4,PLIN4_a,14577719,105136891,4510,18393,1719,5,1
1938,IN,PLIN,PLIN4,PLIN4_a,1499619,140473385,17276,11070,1609,4,2
2957,IN,PLIN,PLIN4,PLIN4_a,3138163,221852405,18599,8141,2769,4.5,2
391,IN,PLIN,PLIN4,PLIN4_b,26523399,209136131,6717,33085,2345,5,3
1016,IN,PLIN,PLIN4,PLIN4_b,27377695,276531827,9040,18050,2934,4,2
1158,IN,PLIN,PLIN4,PLIN4_b,23207551,241898240,1630,23983,2695,4,2
1166,IN,PLIN,PLIN4,PLIN4_b,20292674,324938506,6612,22964,3717,4.5,2
1340,IN,PLIN,PLIN4,PLIN4_b,22703772,241898240,2138,26064,2780,4.5,1
1446,IN,PLIN,PLIN4,PLIN4_b,23582098,319129875,11306,18055,3609,5,2
1450,IN,PLIN,PLIN4,PLIN4_b,20257526,360567465,9471,17285,3806,4.5,3
1459,IN,PLIN,PLIN4,PLIN4_b,15316846,316495486,13351,15876,3502,4.5,2
1491,IN,PLIN,PLIN4,PLIN4_b,205003235,241722315,16919,24636,2781,,2
3346,IN,PLIN,PLIN4,PLIN4_b,27025567,237389384,15773,21045,2569,4.5,1
347,IN,PLIN,PLIN4,PLIN4_c,31452556,76731171,9847,28919,823,4,2
582,IN,PLIN,PLIN4,PLIN4_c,1499506,7821865,11429,7045,160,5,2
609,IN,PLIN,PLIN4,PLIN4_c,13419127,69962052,18945,23199,728,4.5,3
991,IN,PLIN,PLIN4,PLIN4_c,26135523,108885754,4974,20953,1601,4.5,1
998,IN,PLIN,PLIN4,PLIN4_c,18921819,102338314,1963,18108,1908,5,1
1027,IN,PLIN,PLIN4,PLIN4_c,22928094,324387896,5904,22698,3575,4.5,2
1054,IN,PLIN,PLIN4,PLIN4_c,17553686,104772697,11024,17054,1099,,2
1428,IN,PLIN,PLIN4,PLIN4_c,21884173,277117325,10917,18781,2868,4.5,2
829,IN,PLIN,PLIN4,PLIN4_d,11873494,57117211,3463,12661,1733,4,2
1176,IN,PLIN,PLIN4,PLIN4_d,27424515,195354759,15300,21227,2178,4.5,3
1449,IN,PLIN,PLIN4,PLIN4_d,21685156,362230079,11383,18758,3807,5,3
2817,IN,PLIN,PLIN4,PLIN4_d,17118737,277248609,16150,18534,3175,4.5,2
3368,IN,PLIN,PLIN4,PLIN4_d,19835114,191642633,17550,18293,2485,4.5,2
3683,IN,PLIN,PLIN4,PLIN4_d,30349746,367510687,7251,23087,3838,4,3
473,PN,RC,RC,RC,163565495,239111390,18270,28604,3139,,1
478,PN,RC,RC,RC,116812061,284330735,18691,24856,2976,6,1
993,PN,RC,RC,RC,21697659,106214944,4877,18439,1408,6,1
1296,PN,RC,RC,RC,152441637,243022738,4741,26140,2691,7.5,1
1298,PN,RC,RC,RC,15502800,159011779,5033,26956,1951,8,0
1336,PN,RC,RC,RC,202171202,286089127,3867,26376,3222,,2
1338,PN,RC,RC,RC,28010013,155158223,2126,23808,1884,,1
1418,PN,RC,RC,RC,114492984,324517712,11114,23184,3445,8,2
1551,PN,RC,RC,RC,28793712,195143991,7084,21510,2247,8,1
1552,PN,RC,RC,RC,25550757,152641035,8782,21300,1901,7,1
1553,PN,RC,RC,RC,25058443,149982354,10009,19132,1726,7.5,1
629,IN,unclassified,unclassified,unclassified,26767947,152301431,15533,21664,1828,4,3
722,IN,unclassified,unclassified,unclassified,21052853,21052855,2290,18374,114,,3
840,IN,unclassified,unclassified,unclassified,75666030,142312666,5081,12668,1883,,3
880,IN,unclassified,unclassified,unclassified,15095953,141117683,406,11839,1778,,3
905,IN,unclassified,unclassified,unclassified,19672264,63242171,9062,18084,764,4.5,3
941,IN,unclassified,unclassified,unclassified,18114546,145730388,12432,15470,1516,,3
1151,IN,unclassified,unclassified,unclassified,21661967,110488445,3430,22733,1898,,2
1357,IN,unclassified,unclassified,unclassified,28723075,196677791,3562,22993,2129,,2
1374,IN,unclassified,unclassified,unclassified,233842926,279588849,2255,20963,3074,4,2
1376,IN,unclassified,unclassified,unclassified,72820327,281216473,2765,22310,3046,,3
1458,IN,unclassified,unclassified,unclassified,164022632,318123220,13347,17390,3495,,3
